"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene21928"	118	28	1.09466105449706	1	0.0764440304429922	1	0.257850071597865	1
"SpisGene21940"	22	8	1	1	1	1	1	1
"SpisGene21942"	18	6	1.3747149563961	1	0.0248831350023689	1	0.121153389824556	1
"SpisGene21952"	22	21	0.605994248352021	1	0.582211377707097	0.00477325141001593	1	0.130756369689719
"SpisGene21953"	46	46	1	1	1	1	1	1
"SpisGene21954"	157	155	1	1	1	1	1	1
"SpisGene21955"	206	206	1	1	1	1	1	1
"SpisGene21960"	122	118	1	1	1	1	1	1
"SpisGene21968"	24	24	1	1	1	1	1	1
"SpisGene21969"	77	77	1	1	1	1	1	1
"SpisGene21970"	115	114	1.023443823475	1	0.000895152212171621	1	0.0117791083015533	1
"SpisGene21971"	67	67	1	1	1	1	1	1
"SpisGene21972"	12	9	1	1	1	1	1	1
"SpisGene21973"	9	7	1	1	1	1	1	1
"SpisGene21977"	24	13	1	1	1	1	1	1
"SpisGene21978"	18	18	1	1	1	1	1	1
"SpisGene21980"	12	10	1	1	1	1	1	1
"SpisGene21981"	43	41	1	1	1	1	1	1
"SpisGene21987"	374	265	0.937587428271693	1	0.00276865758247519	1	0.0258719533839426	1
"SpisGene21989"	105	94	1.04551329996802	1	0.00758186828918009	1	0.0534787844583191	1
"SpisGene21993"	148	98	1.10140899731549	1	0.0118183331090625	1	0.072906071637678	1
"SpisGene21996"	16	9	1	1	1	1	1	1
"SpisGene21997"	6	6	1	1	1	1	1	1
"SpisGene22001"	62	62	0.948846155161524	1	0.000263546641267254	1	0.00501057795407104	1
"SpisGene22002"	26	26	1	1	1	1	1	1
"SpisGene22003"	17	16	1.07342107245489	1	0.0192861508910402	1	0.102565993229766	1
"SpisGene22004"	159	159	1.01529072148581	1	0.355071987651362	1	0.8608065032503	1
"SpisGene22010"	32	14	1	1	1	1	1	1
"SpisGene22015"	89	79	1	1	1	1	1	1
"SpisGene22016"	44	44	1	1	1	1	1	1
"SpisGene22017"	47	46	1	1	1	1	1	1
"SpisGene22024"	35	34	1	1	1	1	1	1
"SpisGene22031"	7	5	0.651723031576889	1	0.0249371819080995	0.0137764881542983	0.121309798759093	0.323703597459913
"SpisGene22033"	88	88	1	1	1	1	1	1
"SpisGene22037"	172	17	1	1	1	1	1	1
"SpisGene22038"	41	38	1.07734738233978	1	1.09951533782686e-05	1	0.000447860971668764	1
"SpisGene22039"	69	40	1	1	1	1	1	1
"SpisGene22040"	123	119	0.89590969151177	1	2.02357530702967e-09	1	3.49920436295272e-07	1
"SpisGene22041"	70	68	1	1	1	1	1	1
"SpisGene22042"	120	113	0.953095075107874	1	0.0674591149107907	1	0.235211903953618	1
"SpisGene22043"	65	57	0.885143977032056	1	0.000876571052685792	1	0.0115918531343341	1
"SpisGene22051"	153	150	1	1	1	1	1	1
"SpisGene22052"	63	63	0.9591815827604	1	0.0444204235486145	1	0.179154820485611	1
"SpisGene22058"	9	7	1	1	1	1	1	1
"SpisGene22066"	6	5	0.7285836012688	1	0.232222400143624	0.00401118573351109	0.597814678387879	0.113244368655019
"SpisGene22067"	177	150	1	1	1	1	1	1
"SpisGene22068"	123	107	1.04577822324648	1	0.0415721861097015	1	0.171033228132367	1
"SpisGene22069"	182	142	1.04327365815718	1	0.023803607678261	1	0.117604699185408	1
"SpisGene22070"	155	144	1.12106388504201	1	0.000838862983403583	7.98915526445099e-12	0.0112393421759412	6.80122933166762e-09
"SpisGene22072"	36	13	1	1	1	1	1	1
"SpisGene22077"	23	7	1	1	1	1	1	1
"SpisGene22087"	32	32	0.972116330463224	1	0.0717872083254296	1	0.246062404777381	1
"SpisGene22088"	243	243	1	1	1	1	1	1
"SpisGene22089"	223	222	1	1	1	1	1	1
"SpisGene22090"	13	12	0.925323066182287	1	0.930198109012949	0.00311855737778718	1	0.0925844968759885
"SpisGene22091"	8	8	1	1	1	1	1	1
"SpisGene22096"	36	36	1	1	1	1	1	1
"SpisGene22100"	13	12	0.995395231667332	1	0.996291458933668	0.000698337127038127	1	0.027601774946182
"SpisGene22101"	111	110	1.02453906812904	1	0.0336125171369783	1	0.147507011181089	1
"SpisGene22102"	97	86	1	1	1	1	1	1
"SpisGene22103"	9	6	1	1	1	1	1	1
"SpisGene22110"	35	31	0.818924865704225	1	0.043251643256447	1	0.175377295791844	1
"SpisGene22111"	8	5	1.51211699116778	1	0.0230885063969093	1	0.115165936342762	1
"SpisGene22115"	51	44	0.847146297419711	1	1.07171387126432e-05	1	0.000440318330202173	1
"SpisGene22119"	120	119	1	1	1	1	1	1
"SpisGene22120"	43	42	1.07634505950634	1	0.000281212451843816	1	0.00519562304600253	1
"SpisGene22121"	60	60	1	1	1	1	1	1
"SpisGene22122"	44	44	1	1	1	1	1	1
"SpisGene22125"	119	114	1	1	1	1	1	1
"SpisGene22126"	183	178	1	1	1	1	1	1
"SpisGene22128"	38	36	1.03150864964971	1	0.0146416588160057	1	0.0844834401025732	1
"SpisGene22131"	50	49	1.06336231493522	1	0.000525753666200251	1	0.00798150318770669	1
"SpisGene22143"	58	31	1.11540194189686	1	0.102031315195592	1	0.317323058159658	1
"SpisGene22144"	14	14	1	1	1	1	1	1
"SpisGene22148"	26	23	1.10420685109744	1	0.0209542166212458	1	0.108466003436542	1
"SpisGene22149"	122	121	1	1	1	1	1	1
"SpisGene22150"	33	33	1	1	1	1	1	1
"SpisGene22151"	357	354	1.00895086890677	1	0.0624362512316897	1	0.224126497690921	1
