Spis9448 SpisGene9448
Spis2623 SpisGene2623
Spis4702.t1 SpisGene4702
Spis3036 SpisGene3036
Spis7310 SpisGene7310
Spis13122 SpisGene13122
Spis17579 SpisGene17579
Spis1601 SpisGene1601
Spis6363 SpisGene6363
Spis15547.t1 SpisGene15547
Spis8 SpisGene8
Spis8417 SpisGene8417
Spis1454 SpisGene1454
Spis21021 SpisGene21021
Spis7064 SpisGene7064
Spis8212 SpisGene8212
Spis1208 SpisGene1208
Spis5803 SpisGene5803
Spis4148 SpisGene4148
Spis3090 SpisGene3090
Spis16802 SpisGene16802
Spis17961 SpisGene17961
Spis18479 SpisGene18479
Spis3626 SpisGene3626
Spis14751 SpisGene14751
Spis16373 SpisGene16373
Spis2391 SpisGene2391
Spis6153 SpisGene6153
Spis9578 SpisGene9578
Spis7171 SpisGene7171
Spis19322 SpisGene19322
Spis3511 SpisGene3511
Spis4275.t1 SpisGene4275
Spis7951 SpisGene7951
Spis15951 SpisGene15951
Spis18613 SpisGene18613
Spis17823 SpisGene17823
Spis10326 SpisGene10326
Spis4090 SpisGene4090
Spis23219 SpisGene23219
Spis24841 SpisGene24841
Spis24662 SpisGene24662
Spis4461 SpisGene4461
Spis17538 SpisGene17538
Spis1930.t1 SpisGene1930
Spis16053 SpisGene16053
Spis24542 SpisGene24542
Spis25176 SpisGene25176
Spis13082 SpisGene13082
Spis4396 SpisGene4396
Spis13373 SpisGene13373
Spis4479 SpisGene4479
Spis21621 SpisGene21621
Spis5873 SpisGene5873
Spis17439 SpisGene17439
Spis19483.t1 SpisGene19483
Spis3957 SpisGene3957
Spis2247 SpisGene2247
Spis15650 SpisGene15650
Spis710 SpisGene710
Spis16531 SpisGene16531
Spis19306 SpisGene19306
Spis6945 SpisGene6945
Spis18329 SpisGene18329
Spis18632.t1 SpisGene18632
Spis3777 SpisGene3777
Spis21371.t1 SpisGene21371
Spis18653 SpisGene18653
Spis1346.t1 SpisGene1346
Spis1838 SpisGene1838
Spis5104 SpisGene5104
Spis11028 SpisGene11028
Spis1888 SpisGene1888
Spis23 SpisGene23
Spis9775 SpisGene9775
Spis15276 SpisGene15276
Spis6427 SpisGene6427
Spis1754 SpisGene1754
Spis3731 SpisGene3731
Spis3310 SpisGene3310
Spis4041 SpisGene4041
Spis12829 SpisGene12829
Spis5295 SpisGene5295
Spis19647 SpisGene19647
Spis20260 SpisGene20260
Spis7871 SpisGene7871
Spis11675 SpisGene11675
Spis11620 SpisGene11620
Spis12548 SpisGene12548
Spis17755 SpisGene17755
Spis4345.t1 SpisGene4345
Spis48 SpisGene48
Spis10688.t1 SpisGene10688
Spis2225 SpisGene2225
Spis24709 SpisGene24709
Spis22089 SpisGene22089
Spis5282 SpisGene5282
Spis17728 SpisGene17728
Spis14656 SpisGene14656
Spis17055 SpisGene17055
Spis401.t1 SpisGene401
Spis2595 SpisGene2595
Spis12140 SpisGene12140
Spis15217 SpisGene15217
Spis9714 SpisGene9714
Spis15666 SpisGene15666
Spis19478 SpisGene19478
Spis3026 SpisGene3026
Spis1278 SpisGene1278
Spis8244 SpisGene8244
Spis10675 SpisGene10675
Spis14611 SpisGene14611
Spis16357 SpisGene16357
Spis5945 SpisGene5945
Spis13660 SpisGene13660
Spis3282 SpisGene3282
Spis11334 SpisGene11334
Spis2604 SpisGene2604
Spis6079 SpisGene6079
Spis17117 SpisGene17117
Spis18332 SpisGene18332
Spis11650 SpisGene11650
Spis16145 SpisGene16145
Spis5659 SpisGene5659
Spis12343 SpisGene12343
Spis7535.t1 SpisGene7535
Spis2981 SpisGene2981
Spis4677 SpisGene4677
Spis14717 SpisGene14717
Spis17017 SpisGene17017
Spis18119 SpisGene18119
Spis22586 SpisGene22586
Spis12966 SpisGene12966
Spis6204 SpisGene6204
Spis3290 SpisGene3290
Spis8343 SpisGene8343
Spis22340 SpisGene22340
Spis8337 SpisGene8337
Spis20869 SpisGene20869
Spis5150 SpisGene5150
Spis19809 SpisGene19809
Spis24454 SpisGene24454
Spis5867 SpisGene5867
Spis12310 SpisGene12310
Spis13277 SpisGene13277
Spis1815 SpisGene1815
Spis14966 SpisGene14966
Spis6882 SpisGene6882
Spis9375 SpisGene9375
Spis4133 SpisGene4133
Spis19232 SpisGene19232
Spis2116 SpisGene2116
Spis3109 SpisGene3109
Spis7375 SpisGene7375
Spis8761 SpisGene8761
Spis18180 SpisGene18180
Spis11358 SpisGene11358
Spis16263 SpisGene16263
Spis137 SpisGene137
Spis11673.t1 SpisGene11673
Spis12039 SpisGene12039
Spis16781 SpisGene16781
Spis18785 SpisGene18785
Spis1901 SpisGene1901
Spis9496 SpisGene9496
Spis14843 SpisGene14843
Spis19329 SpisGene19329
Spis3882 SpisGene3882
Spis10680 SpisGene10680
Spis10117 SpisGene10117
Spis1527 SpisGene1527
Spis2163 SpisGene2163
Spis6127 SpisGene6127
Spis7221 SpisGene7221
Spis9051 SpisGene9051
Spis11704 SpisGene11704
Spis65 SpisGene65
Spis5211 SpisGene5211
Spis23130 SpisGene23130
Spis13127.t2 SpisGene13127
Spis23843 SpisGene23843
Spis15691 SpisGene15691
Spis19921 SpisGene19921
Spis17119 SpisGene17119
Spis8745.t2 SpisGene8745
Spis21744 SpisGene21744
Spis13166.t1 SpisGene13166
Spis9339 SpisGene9339
Spis25030 SpisGene25030
Spis1067 SpisGene1067
Spis13151 SpisGene13151
Spis1881 SpisGene1881
Spis20121 SpisGene20121
Spis20252 SpisGene20252
Spis10973 SpisGene10973
Spis18520 SpisGene18520
Spis22273 SpisGene22273
Spis4215.t2 SpisGene4215
Spis9605 SpisGene9605
Spis6950 SpisGene6950
Spis54 SpisGene54
Spis3287 SpisGene3287
Spis18159 SpisGene18159
Spis1201 SpisGene1201
Spis15591 SpisGene15591
Spis22160 SpisGene22160
Spis4845 SpisGene4845
Spis6983 SpisGene6983
Spis1711.t1 SpisGene1711
Spis11742 SpisGene11742
Spis2085 SpisGene2085
Spis15819 SpisGene15819
Spis21195 SpisGene21195
Spis9971 SpisGene9971
Spis1165 SpisGene1165
Spis15247 SpisGene15247
Spis11814 SpisGene11814
Spis4778 SpisGene4778
Spis21520 SpisGene21520
Spis15910 SpisGene15910
Spis2191 SpisGene2191
Spis16348 SpisGene16348
Spis9358.t1 SpisGene9358
Spis15362 SpisGene15362
Spis6616 SpisGene6616
Spis1978 SpisGene1978
Spis15862 SpisGene15862
Spis16041.t1 SpisGene16041
Spis9108.t1 SpisGene9108
Spis16739 SpisGene16739
Spis2888 SpisGene2888
Spis9525 SpisGene9525
Spis19973 SpisGene19973
Spis8966 SpisGene8966
Spis5973.t1 SpisGene5973
Spis21397 SpisGene21397
Spis1500 SpisGene1500
Spis4285 SpisGene4285
Spis7442.t1 SpisGene7442
Spis22681.t1 SpisGene22681
Spis4 SpisGene4
Spis9925 SpisGene9925
Spis16097 SpisGene16097
Spis1875.t1 SpisGene1875
Spis4267 SpisGene4267
Spis5676 SpisGene5676
Spis11603 SpisGene11603
Spis4857 SpisGene4857
Spis4160 SpisGene4160
Spis12458 SpisGene12458
Spis4141 SpisGene4141
Spis6128 SpisGene6128
Spis9249 SpisGene9249
Spis11572 SpisGene11572
Spis11153 SpisGene11153
Spis4310 SpisGene4310
Spis18572 SpisGene18572
Spis21067 SpisGene21067
Spis16449 SpisGene16449
Spis21017 SpisGene21017
Spis3217 SpisGene3217
Spis2337 SpisGene2337
Spis17724.t1 SpisGene17724
Spis2363.t2 SpisGene2363
Spis11141 SpisGene11141
Spis5812.t1 SpisGene5812
Spis11337 SpisGene11337
Spis15972 SpisGene15972
Spis6386.t1 SpisGene6386
Spis16127 SpisGene16127
Spis6047 SpisGene6047
Spis12507.t1 SpisGene12507
Spis11903 SpisGene11903
Spis20480 SpisGene20480
Spis4458.t1 SpisGene4458
Spis4733 SpisGene4733
Spis23085 SpisGene23085
Spis6099.t1 SpisGene6099
Spis7131 SpisGene7131
Spis16086 SpisGene16086
Spis14373 SpisGene14373
Spis5887 SpisGene5887
Spis17191 SpisGene17191
Spis3052 SpisGene3052
Spis8715 SpisGene8715
Spis12486 SpisGene12486
Spis10547 SpisGene10547
Spis21320 SpisGene21320
Spis1359 SpisGene1359
Spis2095 SpisGene2095
Spis2514 SpisGene2514
Spis22736 SpisGene22736
Spis12908 SpisGene12908
Spis3571 SpisGene3571
Spis2902 SpisGene2902
Spis4957 SpisGene4957
Spis7902 SpisGene7902
Spis13401 SpisGene13401
Spis15677 SpisGene15677
Spis19294 SpisGene19294
Spis8954 SpisGene8954
Spis9167 SpisGene9167
Spis13455 SpisGene13455
Spis6506 SpisGene6506
Spis980 SpisGene980
Spis5643 SpisGene5643
Spis16286.t1 SpisGene16286
Spis1505 SpisGene1505
Spis3477 SpisGene3477
Spis19786 SpisGene19786
Spis9285.t1 SpisGene9285
Spis5396 SpisGene5396
Spis6699 SpisGene6699
Spis15502 SpisGene15502
Spis18617 SpisGene18617
Spis20277 SpisGene20277
Spis12423 SpisGene12423
Spis1742 SpisGene1742
Spis1787 SpisGene1787
Spis6329 SpisGene6329
Spis7151 SpisGene7151
Spis13920 SpisGene13920
Spis21092 SpisGene21092
Spis3507 SpisGene3507
Spis20182 SpisGene20182
Spis7275 SpisGene7275
Spis9281 SpisGene9281
Spis14282 SpisGene14282
Spis9509 SpisGene9509
Spis761 SpisGene761
Spis16323 SpisGene16323
Spis3289 SpisGene3289
Spis10631 SpisGene10631
Spis10846 SpisGene10846
Spis4355 SpisGene4355
Spis4492 SpisGene4492
Spis22270 SpisGene22270
Spis2162 SpisGene2162
Spis2217.t1 SpisGene2217
Spis20923 SpisGene20923
Spis14633 SpisGene14633
Spis19181 SpisGene19181
Spis10197 SpisGene10197
Spis1059 SpisGene1059
Spis2530 SpisGene2530
Spis16884 SpisGene16884
Spis10340.t1 SpisGene10340
Spis18783 SpisGene18783
Spis11703 SpisGene11703
Spis14736 SpisGene14736
Spis15246 SpisGene15246
Spis12091 SpisGene12091
Spis15809 SpisGene15809
Spis6484 SpisGene6484
Spis1581 SpisGene1581
Spis19989 SpisGene19989
Spis6258 SpisGene6258
Spis3485 SpisGene3485
Spis6050 SpisGene6050
Spis7538 SpisGene7538
Spis6245 SpisGene6245
Spis6517 SpisGene6517
Spis15054 SpisGene15054
Spis14106 SpisGene14106
Spis6351 SpisGene6351
Spis9919 SpisGene9919
Spis3874 SpisGene3874
Spis15825 SpisGene15825
Spis19029 SpisGene19029
Spis20419 SpisGene20419
Spis21471 SpisGene21471
Spis4486 SpisGene4486
Spis12869 SpisGene12869
Spis1336 SpisGene1336
Spis5580 SpisGene5580
Spis6218 SpisGene6218
Spis19849 SpisGene19849
Spis14930 SpisGene14930
Spis23118 SpisGene23118
Spis12694 SpisGene12694
Spis18865 SpisGene18865
Spis14056 SpisGene14056
Spis22990 SpisGene22990
Spis18480 SpisGene18480
Spis20400 SpisGene20400
Spis7224 SpisGene7224
Spis2139 SpisGene2139
Spis14321 SpisGene14321
Spis22553 SpisGene22553
Spis2591 SpisGene2591
Spis17873 SpisGene17873
Spis16625 SpisGene16625
Spis17760 SpisGene17760
